,id,name,lat,lon,fequency
188,1220,Tom Roberts Av before Altson Cct,-35.461296999999995,149.10181,514
189,1221,Tom Roberts Av before Lethbridge St,-35.462199,149.104985,514
190,1223,Charles Conder PS Tom Roberts Av,-35.464853999999995,149.097978,512
191,1224,Pockett Av before Box Hill Av,-35.464987,149.093953,515
192,1225,Pockett Av before 2nd Tregellas Cr,-35.46759,149.095269,515
193,1226,Pockett Av opp Wiburd St,-35.470394,149.097662,1052
194,1227,Banks Shops Pockett Av,-35.472431,149.095951,1052
195,1228,Pockett Av before Brockway Cct,-35.473496999999995,149.091731,516
196,1229,Knoke Av after Coventry Cl,-35.472849,149.08945400000002,518
197,1230,Knoke Av after Minnett Cl,-35.470765,149.088898,518
198,1231,Knoke Av opp O'Hara Cl,-35.470876000000004,149.088786,538
199,1232,Knoke Av before 2nd Mina Wylie Cr,-35.467176,149.087682,518
200,1233,Knoke Av before Matson St,-35.46567,149.085585,518
201,1234,Knoke Av opp Jim Pike Av,-35.461984,149.08364699999998,518
202,1235,Knoke Av after Midge St,-35.460663000000004,149.085728,518
203,1237,Lewis Luxton Av before 1st Cerutty Cr,-35.452995,149.087346,537
204,1238,Lewis Luxton Av before Blinkhorn Pl,-35.450896,149.089342,537
205,1239,61 Lewis Luxton Av,-35.448733000000004,149.087143,537
206,1240,Preddy Way at Fingleton Cr,-35.448164,149.084205,537
207,1241,Clare Dennis Av before 2nd Noel Ryan Gdn,-35.446543,149.085447,537
208,1242,Clare Dennis Av opp Churchill Way,-35.444641,149.087167,537
209,1243,Clare Dennis Av after Woodfull Lp,-35.44312,149.085845,537
210,1246,Cooleman Court Terminus,-35.340841999999995,149.05234099999998,960
211,1248,Streeton Dr before 1st Fremantle Dr,-35.34468,149.047096,444
212,1249,Streeton Dr before Hindmarsh Dr,-35.344613,149.04703600000002,443
213,1250,Fremantle Dr after Streeton Dr,-35.346407,149.04693600000002,444
214,1251,Fremantle Dr before Streeton Dr,-35.3466,149.047038,443
215,1252,Fremantle Dr before Bunbury St,-35.348284,149.049235,444
216,1253,Fremantle Dr opp 1st McKail Cr,-35.347359999999995,149.048194,443
217,1258,Namatjira Dr opp St John Vianney,-35.352146000000005,149.053761,388
218,1259,Namatjira Dr after Streeton Dr,-35.355188,149.050493,833
219,1260,St John Vianney Namatjira Dr,-35.351921999999995,149.05415,394
220,1261,Tom Roberts Av after Wiburd St,-35.466561,149.100512,539
221,1262,Wiburd St before Pockett Av,-35.469931,149.098659,510
222,1263,Namatjira Dr after Badimara St,-35.355115000000005,149.050801,840
223,1264,Namatjira Dr opp Perry Dr,-35.35848,149.047931,800
224,1265,Namatjira Dr before Kapunda St,-35.360591,149.047806,395
225,1266,Namatjira Dr opp 204,-35.363484,149.04971899999998,395
226,1267,241 Namatjira Dr,-35.366088,149.051516,395
227,1268,Namatjira Dr opp 241,-35.366007,149.051368,389
228,1269,Namatjira Dr after Perry Dr,-35.358207,149.047876,804
229,1270,Namatjira Dr before Perry Dr,-35.360443,149.04765700000002,389
230,1271,204 Namatjira Dr,-35.363559,149.049614,389
231,1272,Kambah Pool Rd after Sulwood Dr,-35.375136,149.048963,603
232,1273,Kambah Pool Rd after Barritt St,-35.37534,149.04861499999998,603
233,1274,Barritt St after Kambah Pool Rd,-35.377990999999994,149.048365,607
234,1275,Barritt St before Kambah Pool Rd,-35.378093,149.048299,608
235,1276,Barritt St before Boddington Cr,-35.380209,149.05186,607
236,1277,Barritt St after Boddington Cr,-35.379861,149.051195,608
237,1278,Boddington Cr before Barritt St,-35.381211,149.05177700000002,420
238,1279,Boddington Cr after Carleton St,-35.382090999999996,149.051152,421
239,1280,Boddington Cr opp Carleton St,-35.382089,149.05128100000002,420
240,1281,Boddington Cr before 1st Castley Cct,-35.385031,149.05056399999998,420
241,1282,Boddington Cr after 2nd Crozier Cct,-35.385778,149.05041599999998,421
242,1283,Boddington Cr after 2nd Castley Cct,-35.389283,149.05164299999998,420
243,1284,Boddington Cr after Bateman St,-35.389192,149.051368,421
244,1285,Boddington Cr opp McLeod Pl,-35.390043,149.05365600000002,420
245,1286,Boddington Cr opp Broad Pl,-35.389199,149.056659,420
246,1287,Boddington Cr after McLeod Pl,-35.390316,149.053797,421
247,1288,Boddington Cr before Broad Pl,-35.389395,149.05715800000002,421
248,1289,O'Halloran Cct opp Boddington Cr,-35.390376,149.05903600000002,420
249,1290,O'Halloran Cct before Boddington Cr,-35.390364,149.058859,421
250,1291,O'Halloran Cct after 2nd Springbett St,-35.392912,149.058194,420
251,1292,O'Halloran Cct before 2nd McKillop Cct,-35.393119,149.058008,421
252,1293,O'Halloran Cct before 1st Snodgrass Cr,-35.395621999999996,149.059255,420
253,1294,O'Halloran Cct opp 2nd Snodgrass Cr,-35.395814,149.059279,421
254,1295,O'Halloran Cct before Vansittart Cr,-35.395790000000005,149.06288600000002,420
255,1296,O'Halloran Cct after Vansittart Cr,-35.395919,149.062892,421
256,1297,O'Halloran Cct before Ashby Cct,-35.394099,149.065924,833
257,1298,O'Halloran Cct opp Ashby Cct,-35.393972,149.065792,831
258,1299,O'Halloran Cct opp Namadgi School,-35.393073,149.067676,835
259,13,Tuggeranong Interchange Arrivals,-35.414871000000005,149.06603,6330
